LOCATIONID,STREETNUMBER,STREETNUMBERSUFFIX,STREETNAME,DESIGNATION,ADDITIONALDESC,TOWN,STATE,ZIPCODE,ZIPPLUSFOUR,OWNERCUSTOMERID,OWNERMAILSEQ,PROPERTYCLASS,TAXDISTRICT,BILLINGCYCLE,READINGROUTE,SERVICEAREA,SERVICEFACILITY,PRESSUREDISTRICT,LATITUDE,LONGITUDE,MAPNUMBER,PARCELID,PARCELAREATYPE,PARCELAREA,IMPERVIOUSSQUAREFEET,SUBDIVISION,GISID,FOLIOSEGMENT1,FOLIOSEGMENT2,FOLIOSEGMENT3,FOLIOSEGMENT4,FOLIOSEGMENT5,PROPERTYUSECLASSIFICATION1,PROPERTYUSECLASSIFICATION2,PROPERTYUSECLASSIFICATION3,PROPERTYUSECLASSIFICATION4,PROPERTYUSECLASSIFICATION5,UPDATEDATE
7000062637,29,, OAK ST ,,,BUCKSPORT,ME,4416,4420,,1,1,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000062637,29,, OAK ST ,,,BUCKSPORT,ME,4416,4420,,1,1,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000062644,29,, OAK ST ,,,BUCKSPORT,ME,4416,4420,,1,1,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000062644,29,, OAK ST ,,,BUCKSPORT,ME,4416,4420,,1,1,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000062642,33,, MAIN ST ,,,BUCKSPORT,ME,4416,4420,,1,1,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000062642,33,, MAIN ST ,,,BUCKSPORT,ME,4416,4420,,1,1,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000062635,33,, MAIN ST ,,,BUCKSPORT,ME,4416,4420,,1,1,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000062635,33,, MAIN ST ,,,BUCKSPORT,ME,4416,4420,,1,1,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000062103,83,, MAIN ST ,,,BUCKSPORT,ME,4416,4420,,1,2,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000062103,83,, MAIN ST ,,,BUCKSPORT,ME,4416,4420,,1,2,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066359,83,, MAIN ST ,,,BUCKSPORT,ME,4416,4420,,1,2,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066359,83,, MAIN ST ,,,BUCKSPORT,ME,4416,4420,,1,2,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066023,81,, MAIN ST , OFFICE,,BUCKSPORT,ME,4416,4420,,1,2,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066023,81,, MAIN ST , OFFICE,,BUCKSPORT,ME,4416,4420,,1,2,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066017,81,, MAIN ST ,,,BUCKSPORT,ME,4416,4420,,1,2,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066017,81,, MAIN ST ,,,BUCKSPORT,ME,4416,4420,,1,2,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066323,86,, CENTRAL ST ,,,BUCKSPORT,ME,4416,4420,,1,1,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066323,86,, CENTRAL ST ,,,BUCKSPORT,ME,4416,4420,,1,1,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066299,86,, FRANKLIN ST ,,,BUCKSPORT,ME,4416,4420,,1,2,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066299,86,, FRANKLIN ST ,,,BUCKSPORT,ME,4416,4420,,1,2,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066461,63,, CENTRAL ST ,,,BUCKSPORT,ME,4416,4420,,1,1,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066461,63,, CENTRAL ST ,,,BUCKSPORT,ME,4416,4420,,1,1,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066329,63,, CENTRAL ST ,,,BUCKSPORT,ME,4416,4420,,1,2,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066329,63,, CENTRAL ST ,,,BUCKSPORT,ME,4416,4420,,1,2,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
7000066011,68,, MAIN ST ,,,BUCKSPORT,ME,4416,4420,,1,1,8,819,819,80,,,,,,,,,,,,,,,,,,,,,,
