FULLNAME,PREDIRECTION,PROPERNAME,ABBREVIATION,POSTDIRECTION
"OAK ST",,"OAK","ST",
"S OAK ST","S","OAK","ST",
"MAIN ST",,"MAIN","ST",
"NW MAIN ST","NW","MAIN","ST",
"CENTRAL ST",,"CENTRAL","ST",
"W CENTRAL ST","W","CENTRAL","ST",
"FRANKLIN ST",,"FRANKLIN","ST",
"BROADWAY",,"BROADWAY",,
"S MAIN ST","S","MAIN","ST",
"ELM ST",,"ELM","ST",
"BROADWAY AVE",,"BROADWAY","AVE",
"MECHANIC ST",,"MECHANIC","ST",
"EVANGEL WAY",,"EVANGEL","WAY",
"BRIDGE ST",,"BRIDGE","ST",
"MILES LN",,"MILES","LN",
"SCHOOL ST",,"SCHOOL","ST",
"FEDERAL ST N",,"FEDERAL","ST","N"
"FEDERAL ST",,"FEDERAL","ST",
"LEACH ST",,"LEACH","ST",
"PINE ST",,"PINE","ST",
"SUMMER ST",,"SUMMER","ST",
"POND ST",,"POND","ST",
"BRAUN PLACE",,"BRAUN PLACE",,
"BUCKLEY LN",,"BUCKLEY","LN",
"E MAIN ST","E","MAIN","ST",
"SCHOOL LN",,"SCHOOL","LN",
"MAIN RD N",,"MAIN","RD","N"
"OLD COUNTY RD",,"OLD COUNTY","RD",
"HAMEL AVE",,"HAMEL","AVE",
"SUNRISE LN",,"SUNRISE","LN",
"CHARLES ST",,"CHARLES","ST",
"DAISEY LN",,"DAISEY","LN",
"HORSESHOE LN",,"HORSESHOE","LN",
"MOUNTAIN VIEW DR",,"MOUNTAIN VIEW","DR",
"STONEYBROOK RD",,"STONEYBROOK","RD",
"MARION DR",,"MARION","DR",
"PERRY RD",,"PERRY","RD",
"BUCK ST",,"BUCK","ST",
"CARVER RD",,"CARVER","RD",
"CHICKADEE LN",,"CHICKADEE","LN",
"RIVERVIEW RD",,"RIVERVIEW","RD",
"FRANCES DR",,"FRANCES","DR",
"WHEELDEN HTS",,"WHEELDEN","HTS",
"MURPHY LN",,"MURPHY","LN",
"PATTERSON ST",,"PATTERSON","ST",
"GEORGE ST",,"GEORGE","ST",
"NERN AVE",,"NERN","AVE",
"SOPHIE LN",,"SOPHIE","LN",
"WILLIAMS ST",,"WILLIAMS","ST",
"TRIANGLE RD",,"TRIANGLE","RD",
"CARRIAGE LN",,"CARRIAGE","LN",
"FOREST HL",,"FOREST","HL",
"SUNSET AVE",,"SUNSET","AVE",
"MECAW RD",,"MECAW","RD",
"TARGET",,"TARGET",,
"ODLIN RD",,"ODLIN","RD",
"HAMMOND ST",,"HAMMOND","ST",
"BOUTELLE RD",,"BOUTELLE","RD",
"FREEDOM PKWY",,"FREEDOM","PKWY",
