APPLICATION,DEVICECODE,METERNUMBER,REGISTERNUM,BUILTCONFIG,INSTALLCONFIG,BILLEDFLAG,REGISTERCONFIG,SERIALNUMBER,OTHERDEVICETYPE1,OTHERDEVICEID1,OTHERDEVICEMARRY1,OTHERDEVICETYPE2,OTHERDEVICEID2,OTHERDEVICEMARRY2,METERMAKE,MAKESIZE,METERKIND,METERMODEL,DIALS,DEADZEROES,READTYPE,TESTCIRCLE,AMPS,VOLTS,FLEXFIELD1,FLEXFIELD2,FLEXFIELD3,INITIALINSTALLDATE,CURRENTINSTALLDATE,MULTIPLIER,CTNUMBER,VTNUMBER,PONUMBER,PODATE,PURCHASECOST,RETIREDATE,ASSETTAXDISTRICT,BIDIRECTIONALFLAG,PRIVATELYOWNED,COMMENTS,BATTERYDATE,AMIFLAG,AMITYPE,IPADDRESS,PROBEMETERID,PROBEMETERPASSWORD,PROBEMETERNAME,UPDATEDATE
5,0,"14Y503597",1,0501,0501,"Y",1,"14Y503597",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2014-01-01",,1,,,,"2014-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"14Y503555",1,0501,0501,"Y",1,"14Y503555",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2015-01-01",,1,,,,"2014-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"14Y038122",1,0501,0501,"Y",1,"14Y038122",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2014-01-01",,1,,,,"2014-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P744399",1,0501,0501,"Y",1,"21P744399",,,"Y",,,,1,"2",2,10,4,2,1,,,,2,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"23X592662",1,0501,0501,"Y",1,"23X592662",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2023-01-01",,1,,,,"2023-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"14Y503609",1,0501,0501,"Y",1,"14Y503609",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2014-01-01",,1,,,,"2014-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"1442717",1,0501,0501,"Y",1,"1442717",,,"Y",,,,2,"14",3,175,5,2,1,,,,14,,0,"2015-01-01",,1,,,,"2014-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"14Y452040",1,0501,0501,"Y",1,"14Y452040",,,"Y",,,,1,"2",2,10,4,2,1,,,,2,,0,"2015-01-01",,1,,,,"2014-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"14Y503616",1,0501,0501,"Y",1,"14Y503616",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2015-01-01",,1,,,,"2014-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"14Y503610",1,0501,0501,"Y",1,"14Y503610",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2014-01-01",,1,,,,"2014-01-01",,,8,"N","N",,,"Y",0,,,,,
